Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Welterweight,Danny Barlow,Nikolay Veretennikov,fighter1,47,50,0,0,0,0,0,0
Bantamweight,Chris Gutierrez,Quang Le,fighter1,59,16,0,2,0,0,0,0
Women's Bantamweight,Yana Santos,Chelsea Chandler,fighter1,94,56,0,0,1,0,0,0
Bantamweight,Toshiomi Kazama,Charalampos Grigoriou,fighter1,2,26,1,0,0,1,1,0
Women's Bantamweight,Karol Rosa,Pannie Kianzad,fighter1,117,92,1,0,0,0,0,0
Heavyweight,Jhonata Diniz,Karl Williams,fighter1,59,29,0,2,0,0,0,0
Featherweight,Youssef Zalal,Jarno Errens,fighter1,10,6,1,0,0,0,1,0
Women's Strawweight,Stephanie Luciano,Talita Alencar,fighter1,72,41,0,1,1,0,0,0
Bantamweight,Umar Nurmagomedov,Cory Sandhagen,fighter1,98,71,5,0,0,0,0,0
Middleweight,Shara Magomedov,Michal Oleksiejczuk,fighter1,97,77,0,3,0,0,0,0
Bantamweight,Deiveson Figueiredo,Marlon Vera,fighter1,45,52,2,0,1,0,0,0
Welterweight,Michael Chiesa,Tony Ferguson,fighter1,4,10,1,0,0,0,1,0
Women's Strawweight,Mackenzie Dern,Loopy Godinez,fighter1,72,67,2,2,0,0,0,1
Lightweight,Joel Alvarez,Elves Brener,fighter1,95,45,0,0,1,0,1,0
Light Heavyweight,Azamat Murzakanov,Alonzo Menifield,fighter1,45,15,0,0,1,0,0,0
Lightweight,Kaue Fernandes,Mohammad Yahya,fighter1,37,4,0,0,1,0,0,0
Heavyweight,Shamil Gaziev,Don'Tale Mayes,fighter1,31,27,2,0,0,0,0,0
Lightweight,Guram Kutateladze,Jordan Vucenic,fighter1,30,34,1,0,0,1,0,0
Women's Strawweight,Sam Hughes,Viktoriia Dudakova,fighter1,97,61,0,3,0,0,0,0
Lightweight,Jai Herbert,Rolando Bedoya,fighter1,82,67,2,0,1,0,0,0
Middleweight,Sedriques Dumas,Denis Tiuliulin,fighter1,49,26,3,3,0,0,0,0
Welterweight,Belal Muhammad,Leon Edwards,fighter1,68,47,9,2,0,0,0,0
Heavyweight,Tom Aspinall,Curtis Blaydes,fighter1,14,5,0,0,1,0,0,0
Lightweight,Paddy Pimblett,King Green,fighter1,8,15,0,1,0,0,2,0
Middleweight,Gregory Rodrigues,Christian Leroy Duncan,fighter1,45,29,4,0,0,0,0,0
Featherweight,Arnold Allen,Giga Chikadze,fighter1,61,38,0,0,0,0,0,0
Featherweight,Nathaniel Wood,Daniel Pineda,fighter1,66,32,0,1,1,0,1,0
Women's Strawweight,Bruna Brasil,Molly McCann,fighter1,44,32,3,2,0,0,0,0
Bantamweight,Jake Hadley,Caolan Loughran,fighter1,81,66,0,1,0,0,0,0
Flyweight,Muhammad Mokaev,Manel Kape,fighter1,30,20,3,0,0,0,0,0
Welterweight,Oban Elliott,Preston Parsons,fighter1,44,36,1,1,0,0,0,0
Light Heavyweight,Modestas Bukauskas,Marcin Prachnio,fighter1,38,70,2,0,0,0,1,0
Welterweight,Sam Patterson,Kiefer Crosbie,fighter1,9,9,1,0,0,0,1,0
Heavyweight,Mick Parkin,Lukasz Brzeski,fighter1,34,24,0,0,1,0,0,0
Women's Strawweight,Shauna Bannon,Alice Ardelean,fighter1,77,57,0,2,0,0,0,0
Women's Strawweight,Virna Jandiroba,Amanda Lemos,fighter1,2,2,1,0,0,0,4,1
Featherweight,Steve Garcia,SeungWoo Choi,fighter1,15,9,0,0,1,0,0,0
Lightweight,Kurt Holobaugh,Kaynan Kruschewsky,fighter1,92,89,1,3,0,0,0,2
Flyweight,Bruno Silva,Cody Durden,fighter1,42,28,0,1,1,0,0,3
Featherweight,Dooho Choi,Bill Algeo,fighter1,21,17,2,2,0,0,3,0
Featherweight,Hyder Amil,JeongYeong Lee,fighter1,42,4,0,0,0,0,0,0
Bantamweight,Cody Gibson,Brian Kelleher,fighter1,13,2,2,0,0,0,1,0
Women's Flyweight,Miranda Maverick,Dione Barbosa,fighter1,30,21,2,1,0,0,0,1
Lightweight,Trey Ogden,Loik Radzhabov,fighter1,24,42,4,0,0,0,2,0
Women's Flyweight,Luana Carolina,Lucie Pudilova,fighter1,94,43,0,2,0,0,0,0
Heavyweight,Thomas Petersen,Mohammed Usman,fighter1,76,63,2,0,0,0,0,0
Women's Flyweight,Rose Namajunas,Tracy Cortez,fighter1,96,58,5,2,1,0,0,0
Welterweight,Muslim Salikhov,Santiago Ponzinibbio,fighter1,46,41,0,2,0,0,0,0
Lightweight,Jean Silva,Drew Dober,fighter1,53,59,0,0,0,0,0,0
Welterweight,Gabriel Bonfim,Ange Loosa,fighter1,101,52,1,4,0,0,0,0
Featherweight,Julian Erosa,Christian Rodriguez,fighter1,35,33,1,0,0,0,1,0
Middleweight,Abdul Razak Alhassan,Cody Brundage,No contest,23,1,0,0,0,0,0,0
Flyweight,Charles Johnson,Joshua Van,fighter1,88,67,0,1,1,0,0,0
